AGE_BAND,GENDER,drug_starpu,V1,pop,rate,base,star_pu
31-35,Female,Cephalosportins and other beta-lactams,30903,2165311,0.0142718528654775,0.0241159100662481,0.591802375538461
36-40,Female,Cephalosportins and other beta-lactams,26764,2068502,0.0129388320630098,0.0241159100662481,0.536526800252031
41-45,Female,Cephalosportins and other beta-lactams,23448,1931799,0.0121379087575881,0.0241159100662481,0.503315393209065
46-50,Female,Cephalosportins and other beta-lactams,23684,1904655,0.0124347979030323,0.0241159100662481,0.515626317600001
51-55,Female,Cephalosportins and other beta-lactams,32735,2089624,0.0156654977163356,0.0241159100662481,0.64959181193251
56-60,Female,Cephalosportins and other beta-lactams,38981,2050350,0.0190118760211671,0.0241159100662481,0.788354076994819
61-65,Female,Cephalosportins and other beta-lactams,42427,1759295,0.0241159100662481,0.0241159100662481,1
66-70,Female,Cephalosportins and other beta-lactams,44937,1507177,0.029815343519706,0.0241159100662481,1.23633499369508
71-75,Female,Cephalosportins and other beta-lactams,57870,1530177,0.0378191542547039,0.0241159100662481,1.56822422006103
76-80,Female,Cephalosportins and other beta-lactams,72004,1153142,0.0624415726770857,0.0241159100662481,2.5892272987233
81-85,Female,Cephalosportins and other beta-lactams,65050,801469,0.0811634635899829,0.0241159100662481,3.36555673690195
86+,Female,Cephalosportins and other beta-lactams,89596,797992,0.112276814805161,0.0241159100662481,4.65571543834458
0-1,Male,Cephalosportins and other beta-lactams,5085,638068,0.00796937003579556,0.0241159100662481,0.33046109451823
2-5,Male,Cephalosportins and other beta-lactams,8329,1359751,0.00612538619203075,0.0241159100662481,0.253997720807711
6-10,Male,Cephalosportins and other beta-lactams,5329,1827831,0.00291547741558164,0.0241159100662481,0.12089435594894
11-15,Male,Cephalosportins and other beta-lactams,2900,1869008,0.00155162524718995,0.0241159100662481,0.0643403148762592
16-20,Male,Cephalosportins and other beta-lactams,1816,1784557,0.00101761949884481,0.0241159100662481,0.0421970183189993
21-25,Male,Cephalosportins and other beta-lactams,1689,1863510,0.000906354138158636,0.0241159100662481,0.0375832442428595
26-30,Male,Cephalosportins and other beta-lactams,2271,1947065,0.00116637092238831,0.0241159100662481,0.0483652045137094
31-35,Male,Cephalosportins and other beta-lactams,3088,2025452,0.00152459796628111,0.0241159100662481,0.0632195908051128
36-40,Male,Cephalosportins and other beta-lactams,3668,1944802,0.00188605318176349,0.0241159100662481,0.0782078377545101
41-45,Male,Cephalosportins and other beta-lactams,4176,1847890,0.00225987477609598,0.0241159100662481,0.093708873929615
46-50,Male,Cephalosportins and other beta-lactams,5290,1848950,0.00286108331755861,0.0241159100662481,0.118638828462165
51-55,Male,Cephalosportins and other beta-lactams,7922,2018546,0.003924607118193,0.0241159100662481,0.16273933297196
56-60,Male,Cephalosportins and other beta-lactams,10349,1973571,0.00524379411736391,0.0241159100662481,0.217441270221975
61-65,Male,Cephalosportins and other beta-lactams,13152,1696457,0.00775262797701327,0.0241159100662481,0.321473581370815
66-70,Male,Cephalosportins and other beta-lactams,15018,1412440,0.0106326640423664,0.0241159100662481,0.440898312075212
71-75,Male,Cephalosportins and other beta-lactams,20239,1383264,0.0146313357392371,0.0241159100662481,0.606708836574847
76-80,Male,Cephalosportins and other beta-lactams,24063,990701,0.024288862128937,0.0241159100662481,1.00717169960469
81-85,Male,Cephalosportins and other beta-lactams,20641,618650,0.0333645841752202,0.0241159100662481,1.38350923036142
86+,Male,Cephalosportins and other beta-lactams,26122,467661,0.0558566996178856,0.0241159100662481,2.31617631117562
36-40,Female,Tetracyclines,162253,2068502,0.0784398564758458,0.154912621248853,0.506349036272775
46-50,Female,Tetracyclines,183267,1904655,0.0962205753797932,0.154912621248853,0.6211280566044
51-55,Female,Tetracyclines,236807,2089624,0.113325172375509,0.154912621248853,0.731542539671203
56-60,Female,Tetracyclines,268577,2050350,0.13099080644768,0.154912621248853,0.845578658418382
61-65,Female,Tetracyclines,272537,1759295,0.154912621248853,0.154912621248853,1
66-70,Female,Tetracyclines,244640,1507177,0.162316702019736,0.154912621248853,1.04779520681527
71-75,Female,Tetracyclines,244545,1530177,0.15981484494931,0.154912621248853,1.03164508908917
76-80,Female,Tetracyclines,226037,1153142,0.196018356802545,0.154912621248853,1.26534787948401
81-85,Female,Tetracyclines,158337,801469,0.197558483235159,0.154912621248853,1.27528978363745
86+,Female,Tetracyclines,169331,797992,0.212196362870806,0.154912621248853,1.36978098466188
46-50,Male,Tetracyclines,101020,1848950,0.0546364152627167,0.154912621248853,0.352691826025902
51-55,Male,Tetracyclines,134851,2018546,0.0668060078888467,0.154912621248853,0.431249612525303
56-60,Male,Tetracyclines,170208,1973571,0.0862436669367355,0.154912621248853,0.556724598947901
61-65,Male,Tetracyclines,192442,1696457,0.113437593761587,0.154912621248853,0.732268248042617
66-70,Male,Tetracyclines,197362,1412440,0.139731245221036,0.154912621248853,0.902000392831588
71-75,Male,Tetracyclines,213048,1383264,0.154018321882157,0.154912621248853,0.994227072271542
76-80,Male,Tetracyclines,199171,990701,0.201040475380564,0.154912621248853,1.29776692021505
